"Answer(Yes,No)",Male,Female,White,Minority,Age18to29,Age30to49,Age50to64,Age65plus,Rep,Dem,Ind
1406,568,837,845,541,537,535,261,50,278,423,622
604,359,245,432,168,168,225,193,73,180,119,244
