"Answer(Yes,No)",Male,Female,White,Minority,Age18to29,Age30to49,Age50to64,Age65plus,Rep,Dem,Ind
395,219,176,232,158,190,131,49,16,86,102,180
2259,1057,1202,1559,682,500,800,675,246,568,605,934
