"Answer(Yes,No)",Male,Female,White,Minority,Age18to29,Age30to49,Age50to64,Age65plus,Rep,Dem,Ind
1349,565,784,896,427,387,460,359,115,295,403,543
1305,711,592,867,432,304,463,358,159,370,298,575
