"Answer(Yes,No)",Male,Female,White,Minority,Age18to29,Age30to49,Age50to64,Age65plus,Rep,Dem,Ind
687,341,346,427,246,284,214,142,27,137,210,309
1988,939,1050,1359,613,413,727,581,241,524,499,807
