"Answer(Yes,No)",Male,Female,White,Minority,Age18to29,Age30to49,Age50to64,Age65plus,Rep,Dem,Ind
1771,871,900,1229,516,527,673,419,118,419,455,799
894,412,482,553,336,180,271,292,136,234,252,322
