"Answer(Yes,No)",Male,Female,White,Minority,Age18to29,Age30to49,Age50to64,Age65plus,Rep,Dem,Ind
910,412,498,607,285,317,305,189,75,192,199,450
1708,836,872,1128,568,382,615,511,178,438,491,665
