"Answer(Yes,No)",Male,Female,White,Minority,Age18to29,Age30to49,Age50to64,Age65plus,Rep,Dem,Ind
484,261,224,278,203,210,159,83,23,115,155,190
2240,1050,1190,1550,663,501,799,662,244,556,566,950
